Trade_Number,Ticker,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Shares,Position_Size,Gross_Profit,Profit_Percent,Holding_Days,Trade_Result,Running_Balance,Trade_Type
1,TYL,2022-01-05,492.59,2022-06-01,345.87,20,9851.8,-2934.4,-29.79,147,Loss,97065.6,Sell
2,TYL,2022-06-03,356.85,2022-06-06,356.42,28,9991.8,-12.04,-0.12,3,Loss,97053.56,Sell
3,TYL,2022-06-08,363.45,2022-06-09,351.61,27,9813.15,-319.68,-3.26,1,Loss,96733.88,Sell
4,TYL,2022-06-24,345.33,2022-06-30,332.48,28,9669.24,-359.8,-3.72,6,Loss,96374.08,Sell
5,TYL,2022-07-08,346.49,2022-07-11,340.83,28,9701.72,-158.48,-1.63,3,Loss,96215.6,Sell
6,TYL,2022-07-15,339.12,2022-09-28,347.08,29,9834.48,230.84,2.35,75,Win,96446.44,Sell
7,TYL,2022-10-05,367.27,2022-10-07,352.95,27,9916.29,-386.64,-3.9,2,Loss,96059.8,Sell
8,TYL,2022-10-21,335.95,2022-10-27,333.53,29,9742.55,-70.18,-0.72,6,Loss,95989.62,Sell
9,TYL,2022-11-11,324.61,2022-11-17,320.55,30,9738.3,-121.8,-1.25,6,Loss,95867.82,Sell
10,TYL,2022-11-23,333.04,2022-11-25,330.88,30,9991.2,-64.8,-0.65,2,Loss,95803.02,Sell
11,TYL,2022-11-30,342.74,2022-12-02,342.22,29,9939.46,-15.08,-0.15,2,Loss,95787.94,Sell
12,TYL,2022-12-14,334.61,2022-12-15,322.82,29,9703.69,-341.91,-3.52,1,Loss,95446.03,Sell
13,TYL,2023-01-18,305.13,2023-01-30,317.35,32,9764.16,391.04,4.0,12,Win,95837.07,Sell
14,TYL,2023-02-01,336.46,2023-02-10,322.54,29,9757.34,-403.68,-4.14,9,Loss,95433.39,Sell
15,TYL,2023-02-15,332.77,2023-02-28,321.25,30,9983.1,-345.6,-3.46,13,Loss,95087.79,Sell
16,TYL,2023-03-03,330.23,2023-03-07,318.26,30,9906.9,-359.1,-3.62,4,Loss,94728.69,Sell
17,TYL,2023-03-08,326.7,2023-03-10,309.8,30,9801.0,-507.0,-5.17,2,Loss,94221.69,Sell
18,TYL,2023-03-15,328.11,2023-08-07,383.08,30,9843.3,1649.1,16.75,145,Win,95870.79,Sell
19,TYL,2023-08-11,387.56,2023-08-15,380.25,25,9689.0,-182.75,-1.89,4,Loss,95688.04,Sell
20,TYL,2023-08-25,378.79,2023-09-06,390.64,26,9848.54,308.1,3.13,12,Win,95996.14,Sell
21,TYL,2023-09-20,392.53,2023-09-21,384.27,25,9813.25,-206.5,-2.1,1,Loss,95789.64,Sell
22,TYL,2023-09-22,388.58,2023-09-26,380.84,25,9714.5,-193.5,-1.99,4,Loss,95596.14,Sell
23,TYL,2023-10-09,392.95,2023-10-13,375.16,25,9823.75,-444.75,-4.53,4,Loss,95151.39,Sell
24,TYL,2023-10-18,379.4,2023-10-20,367.71,26,9864.4,-303.94,-3.08,2,Loss,94847.45,Sell
25,TYL,2023-11-03,416.25,2024-03-25,420.25,24,9990.0,96.0,0.96,143,Win,94943.45,Sell
26,TYL,2024-04-24,419.0,2024-12-26,592.84,23,9637.0,3998.32,41.49,246,Win,98941.77,Sell
27,TYL,2025-01-17,569.33,2025-03-07,588.01,17,9678.61,317.56,3.28,49,Win,99259.33,Sell
28,TYL,2025-03-24,574.39,2025-04-03,569.68,17,9764.63,-80.07,-0.82,10,Loss,99179.26,Sell
29,TYL,2025-04-11,568.54,2025-04-21,555.53,17,9665.18,-221.17,-2.29,10,Loss,98958.09,Sell
30,TYL,2025-04-23,569.27,2025-04-24,530.5,17,9677.59,-659.09,-6.81,1,Loss,98299.0,Sell
31,TYL,2025-05-05,549.34,2025-05-14,562.0,18,9888.12,227.88,2.3,9,Win,98526.88,Sell
32,TYL,2025-05-16,576.9,2025-05-19,574.09,17,9807.3,-47.77,-0.49,3,Loss,98479.11,Sell
33,TYL,2025-05-21,566.82,2025-05-22,567.42,17,9635.94,10.2,0.11,1,Win,98489.31,Sell
34,TYL,2025-05-23,566.02,2025-05-29,571.68,17,9622.34,96.22,1.0,6,Win,98585.53,Sell
35,TYL,2025-05-30,576.99,2025-06-02,564.72,17,9808.83,-208.59,-2.13,3,Loss,98376.94,Sell
36,TYL,2025-06-04,577.98,2025-06-05,573.79,17,9825.66,-71.23,-0.72,1,Loss,98305.71,Sell
